NAME,POPULATION
Adams,32297
Alcorn,37057
Amite,13131
Attala,19564
Benton,8729
Bolivar,34145
Calhoun,14962
Carroll,10597
Chickasaw,17392
Choctaw,8547
Claiborne,9604
Clarke,16732
Clay,20634
Coahoma,26151
Copiah,29449
Covington,19568
DeSoto,161252
Forrest,74934
Franklin,8118
George,22578
Greene,14400
Grenada,21906
Hancock,43929
Harrison,187105
Hinds,245285
Holmes,19198
Humphreys,9375
Issaquena,1406
Itawamba,23401
Jackson,139668
Jasper,17062
Jefferson,7726
JeffersonDavis,12487
Jones,67761
Kemper,10456
Lafayette,47351
Lamar,55658
Lauderdale,80261
Lawrence,12929
Leake,23805
Lee,82910
Leflore,32317
Lincoln,34869
Lowndes,59779
Madison,95203
Marion,27088
Marshall,37144
Monroe,36989
Montgomery,10925
Neshoba,29676
Newton,21720
Noxubee,11545
Oktibbeha,47671
Panola,34707
PearlRiver,55834
Perry,12250
Pike,40404
Pontotoc,29957
Prentiss,25276
Quitman,8223
Rankin,141617
Scott,28264
Sharkey,4916
Simpson,27503
Smith,16491
Stone,17786
Sunflower,29450
Tallahatchie,15378
Tate,28886
Tippah,22232
Tishomingo,19593
Tunica,10778
Union,27134
Walthall,15443
Warren,48773
Washington,51137
Wayne,20747
Webster,10253
Wilkinson,9878
Winston,19198
Yalobusha,12678
Yazoo,28065